Município,Eficiência CRS,Eficiência VRS,COD_MUN,Escala de Eficiência,gasto_per_capita,ideb_2019
Prefeitura Municipal de Formosa do Sul - SC,0.0869151756,0.094816552,4205431,0.9166666976035999,865.621996039604,6.6
Prefeitura Municipal de Corup· - SC,0.0866756686,0.10230571,4204509,0.8472221990346386,802.2552855051244,6.1
Prefeitura Municipal de Paulo Lopes - SC,0.0866755222,0.10230554,4212304,0.8472221758469776,802.2566082502021,6.1
Prefeitura Municipal de Ipira - SC,0.0866481408,0.086648143,4207601,0.9999999746099578,947.2250735621934,7.2
Prefeitura Municipal de Nova Veneza - SC,0.0866015803,0.093064386,4211603,0.9305555435566941,881.9194575298592,6.7
Prefeitura Municipal de Irati - SC,0.08606699229999999,0.10158727,4207858,0.8472222188862837,807.9289088114754,6.1
Prefeitura Municipal de Tangar· - SC,0.0858064704,0.096532277,4217907,0.8888889091469375,850.2367909331492,6.4
Prefeitura Municipal de Matos Costa - SC,0.0843498688,0.094893606,4210704,0.8888888551669119,864.91911328125,6.4
Prefeitura Municipal de Ponte Serrada - SC,0.0843322584,0.11676774,4213401,0.7222222370665049,702.8935405124654,5.2
Prefeitura Municipal de Santiago do Sul - SC,0.0842821686,0.096322482,4215695,0.8749999672973543,852.0886469673405,6.3
Prefeitura Municipal de Jacinto Machado - SC,0.0841473982,0.097719556,4208708,0.8611111393097202,839.9065267285073,6.2
Prefeitura Municipal de Alto Bela Vista - SC,0.0840445704,0.084044568,4200754,1.0000000285562776,976.568680698152,7.2
Prefeitura Municipal de Abelardo Luz - SC,0.08398533650000001,0.093029908,4200101,0.9027778088311128,882.2463080629798,6.5
Prefeitura Municipal de Ilhota - SC,0.0839720622,0.097515945,4207106,0.8611110952162746,841.6602370581934,6.2
Prefeitura Municipal de Rancho Queimado - SC,0.0837187049,0.1021652,4214300,0.8194444380278216,803.3586262203627,5.9
Prefeitura Municipal de S„o Cristov„o do Sul - SC,0.08317826,0.1088879,4216057,0.7638889169503683,753.7595271867613,5.5
Prefeitura Municipal de S„o Bernardino - SC,0.0830043648,0.094862131,4215752,0.8750000018447824,865.2060896898575,6.3
Prefeitura Municipal de Jupi· - SC,0.0829311566,0.096307153,4209177,0.8611110807106923,852.2242748815165,6.2
Prefeitura Municipal de Rio das Antas - SC,0.0828565438,0.10111307,4214409,0.8194444476861399,811.7179639175258,5.9
Prefeitura Municipal de Lajeado Grande - SC,0.0828232892,0.083989817,4209458,0.9861110805849238,977.2052818371608,7.1
Prefeitura Municipal de Morro da FumaÁa - SC,0.08188206899999999,0.096647687,4211207,0.8472222309883111,849.221499263122,6.1
Prefeitura Municipal de Ponte Alta do Norte - SC,0.08141134080000001,0.091587762,4213351,0.8888888539497232,896.1382159624413,6.4
Prefeitura Municipal de Porto Belo - SC,0.08139755050000001,0.099332607,4213500,0.8194444196959414,826.2673802438322,5.9
Prefeitura Municipal de Campo Belo do Sul - SC,0.0802856932,0.10906736,4203402,0.7361110895138563,752.5193164807231,5.3
Prefeitura Municipal de Arvoredo - SC,0.0791908974,0.096639737,4201653,0.8194444630990666,849.2913535173642,5.9
Prefeitura Municipal de Bom Jesus - SC,0.07852639139999999,0.091191937,4202537,0.8611111243310907,900.0279635258358,6.2
Prefeitura Municipal de Nova Itaberaba - SC,0.07780986670000001,0.094954411,4211454,0.8194444668821126,864.3652480960075,5.9
Prefeitura Municipal de Faxinal dos Guedes - SC,0.0774372552,0.091401348,4205308,0.8472222444684295,897.9658927568781,6.1
Prefeitura Municipal de Santa Rosa de Lima - SC,0.076955782,0.16061833800000036,4215604,0.4791220165657537,1096.1510669162378,7.4
Prefeitura Municipal de Varge„o - SC,0.07619880459999999,0.077272029,4219101,0.9861110881403151,1062.160455944056,7.1
Prefeitura Municipal de It· - SC,0.075133583,0.077280256,4208005,0.9722222322866011,1062.0473715574167,7.0
Prefeitura Municipal de Itapema - SC,0.0747550528,0.084099434,4208302,0.8888888931166885,975.9315748616601,6.4
Prefeitura Municipal de S„o Joaquim - SC,0.0747344791,0.11448686,4216503,0.6527777869006103,716.8970283600494,4.7
Prefeitura Municipal de S„o Miguel da Boa Vista - SC,0.07473086209999999,0.088206916,4217154,0.8472222529580333,930.4859192580469,6.1
Prefeitura Municipal de Caxambu do Sul - SC,0.074646972,0.089576369,4204103,0.8333333091454065,916.2605542168675,6.0
Prefeitura Municipal de Pinheiro Preto - SC,0.0743802034,0.092334047,4213005,0.8055555433414502,888.8952234557358,5.8
Prefeitura Municipal de Ponte Alta - SC,0.0743487024,0.093914149,4213302,0.7916666784682251,873.9395905812473,5.7
Prefeitura Municipal de Balne·rio PiÁarras - SC,0.0733528128,0.082521916,4212809,0.88888887165441,994.5878255075296,6.4
Prefeitura Municipal de Bombinhas - SC,0.07313788019999999,0.07978678,4202453,0.9166666482843397,1028.682864586047,6.6
Prefeitura Municipal de Tigrinhos - SC,0.07112025479999999,0.0753038,4217956,0.9444444344110123,1089.922332928311,6.8
Prefeitura Municipal de ¡guas Frias - SC,0.0709025552,0.082338448,4200556,0.8611111445773182,996.8039907485282,6.2
Prefeitura Municipal de Coronel Martins - SC,0.0707508312,0.099883529,4204459,0.7083333148951916,821.7099842767295,5.1
